Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Honduras,HND,279.783,274.638,273.158,267.776,263.712,258.946,253.769,252.5,249.239,244.801,242.283,236.157,235.919,231.722,229.446,221.717,219.715,213.399,239.788,205.942,204.301,202.7,194.425,194.325,194.769,186.628,186.678,185.871,186.888,180.686,181.202,179.382,177.192,176.103,169.177,168.72,168.372,167.817,167.327,167.375,185.81,208.186,198.67,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Hong Kong SAR, China",HKG,152.083,144.35,140.933,137.24,133.284,125.96,124.015,122.015,121.579,118.92,116.992,113.765,110.664,108.238,104.256,100.748,97.499,95.32,92.087,90.731,87.767,85.26,84.3,84.79,82.886,79.809,78.423,76.959,76.105,74.298,71.534,69.756,67.389,65.466,63.1,61.269,59.847,57.845,55.832,54.412,52.867,51.22,56.721,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Hungary,HUN,263.226,271.782,270.435,288.808,291.369,291.392,289.983,283.412,278.613,298.822,305.087,306.528,325.073,328.648,326.483,317.913,296.354,287.483,292.771,290.064,271.44,260.615,259.032,257.047,252.792,256.342,249.886,245.63,233.087,228.461,218.943,206.225,195.724,182.243,179.963,177.627,172.279,168.058,166.734,159.172,164.516,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Iceland,ISL,140.608,134.102,131.839,156.519,129.987,114.466,128.471,121.685,126.036,101.283,116.7,119.289,93.287,91.447,95.714,101.019,95.225,91.988,84.137,92.711,98.715,84.97,82.738,66.85,73.303,68.893,76.407,71.115,63.474,73.242,70.548,58.852,66.886,67.441,68.392,67.533,65.669,75.761,69.032,64.223,66.072,68.326,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,India,IND,312.174,307.689,302.01,295.674,289.304,283.327,278.433,274.732,271.91,269.354,267.505,265.418,262.894,260.619,258.148,256.434,255.367,254.873,254.605,254.104,252.631,250.397,245.4,240.244,235.408,230.67,227.348,225.792,225.384,225.4,225.044,223.432,219.76,214.491,208.244,202.425,197.778,195.1,194.114,193.514,202.334,253.832,242.879,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Indonesia,IDN,276.635,270.976,261.676,258.524,250.426,242.483,240.499,237.941,241.716,237.41,233.257,228.746,221.945,221.588,217.88,216.102,218.659,217.115,214.953,219.709,214.959,216.339,208.586,211.662,227.47,209.773,211.833,206.339,208.296,209.654,205.065,204.679,205.062,206.261,200.078,199.15,199.765,199.216,193.961,192.873,219.64,244.106,232.302,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Iran, Islamic Rep.",IRN,327.023,427.785,415.773,403.184,327.544,321.712,315.349,313.198,306.644,232.204,254.133,227.384,227.125,220.674,220.137,214.638,216.361,210.797,203.039,196.604,189.732,186.268,176.971,185.88,167.186,161.205,161.016,154.965,157.641,156.806,161.742,154.045,145.04,143.721,135.806,133.452,127.687,125.2,121.821,127.359,154.124,151.24,142.881,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Iraq,IRQ,386.884,475.441,467.142,464.973,463.547,455.207,451.986,445.084,519.933,430.313,427.144,341.306,241.335,241.444,245.371,250.256,248.44,260.816,268.444,263.557,255.853,250.902,252.904,310.428,336.169,343.735,388.65,388.705,333.295,278.011,265.397,247.599,238.095,233.569,219.125,200.684,247.681,208.762,165.028,166.628,206.793,183.88,172.343,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Ireland,IRL,175.559,169.445,162.933,166.045,157.017,154.834,148.844,145.485,138.807,138.957,133.277,132.963,128.203,129.173,121.694,125.484,123.816,123.066,123.634,121.392,119.257,112.224,113.266,102.195,101.714,96.634,94.661,93.919,90.364,92.992,86.762,86.556,83.667,81.065,78.763,74.33,72.089,70.771,70.339,71.605,67.313,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Isle of Man,IMN,228.16,219.761,219.363,212.614,210.961,214.927,205.875,201.503,194.883,197.86,188.642,187.759,175.307,175.066,164.829,162.18,157.821,161.389,138.228,152.694,141.623,127.746,132.849,116.554,115.291,108.716,97.784,92.922,102.912,100.535,98.123,95.842,94.566,93.384,86.002,94.464,83.696,82.565,81.449,80.347,82.1,84.422,82.065,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Israel,ISR,138,..,..,136.108,133.645,128.845,130.691,124.543,126.022,116.23,107.039,109.893,112.413,107.737,108.009,107.505,103.245,103.213,105.601,99.145,102.6,98.35,98.074,92.814,90.852,89.197,87.053,84.345,83.727,78.558,77.076,75.748,75.427,75.007,72.471,72.987,70.873,..,..,..,..,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Italy,ITA,165.671,159.969,154.907,156.408,148.597,145.685,141.195,137.706,133.777,131.365,130.512,131.665,127.392,122.016,121.501,119.096,114.728,110.152,107.652,104.959,101.334,99.544,95.824,92.243,86.976,84.356,82.979,80.536,78.548,76.385,73.052,71.981,70.628,67.898,66.045,67.307,64.479,66.506,63.203,61.477,66.434,..,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Jamaica,JAM,184.011,176.912,169.798,171.214,173.273,168.883,165.992,154.412,151.787,145.984,145.104,149.646,149.507,154.971,161.193,166.902,173.619,180.053,188.093,191.274,193.486,200.326,203.996,209.88,214.798,210.817,206.667,196.577,188.641,179.933,171.526,162.342,146.852,143.705,154.63,172.324,185.5,191.1,196.132,197.133,195.289,212.067,211.684,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Japan,JPN,130.442,127.718,125.497,128.636,125.493,122.01,119.599,115.54,114.241,110.634,108.856,107.299,106.506,104.812,101.252,102.39,98.684,97.487,100.708,101.712,98.382,96.695,95.051,95.879,92.677,92.668,89.142,87.189,85.382,84.429,82.824,83.291,77.023,75.083,72.613,70.18,68.737,66.604,65.289,64.375,64.547,64.319,..,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Jordan,JOR,214.908,209.842,205.088,200.856,196.787,193.139,189.691,186.176,182.163,178.567,175.186,172.416,169.687,167.182,164.96,162.801,160.697,158.76,156.841,154.434,151.84,149.163,146.677,144.127,141.751,140.08,137.2,135.031,132.989,131.06,129.266,127.493,125.77,123.75,121.02,118.291,116.35,113.411,110.837,108.406,115.343,125.741,125.826,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kazakhstan,KAZ,365.48,359.978,357.905,348.327,342.854,338.328,333.434,326.052,330.443,335.485,340.997,351.342,358.842,366.856,373.732,382.387,389.063,390.174,393.114,393.765,394.509,395.341,394.553,394.07,391.217,390.856,381.646,369.015,353.403,337.653,318.507,305.951,303.129,285.972,276.485,269.752,256.092,250.618,246.569,246.621,277.164,274.47,268.819,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kenya,KEN,307.036,265.593,271.141,269.989,277.576,290.056,298.397,304.39,319.202,329.214,340.666,354.005,373.111,384.002,389.927,404.833,419.768,431.565,440.747,446.391,451.008,456.279,452.234,446.141,435.008,421.682,412.381,402.78,401.166,396.384,392.736,393.028,394.737,387.989,389.771,394.214,386.588,391.564,389.762,381.951,389.647,419.404,407.928,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kiribati,KIR,322.699,320.346,317.762,314.795,311.529,307.967,303.968,298.988,293.497,287.845,281.947,276.579,271.431,266.546,262.32,258.688,255.57,252.564,249.549,246.685,243.749,240.98,238.995,237.702,237.302,237.547,238.194,238.916,238.977,238.421,236.921,235.003,232.819,230.457,227.873,225.125,222.497,219.952,217.243,213.431,211.651,208.417,209.479,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Korea, Dem. People's Rep.",PRK,244.157,237.69,231.074,224.519,217.535,210.483,203.344,197.056,189.249,181.857,174.256,165.751,158.638,150.845,181.945,262.564,261.95,262.027,262.382,262.702,262.785,263.021,262.467,188.887,189.14,190.054,191.36,191.946,191.189,184.831,178.484,175.239,170.446,165.524,160.948,183.169,183.857,182.474,182.567,180.725,180.708,182.375,174.044,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"Korea, Rep.",KOR,339.266,300.409,304.817,313.461,289.405,289.541,281.05,277.553,264.199,256.636,233.201,226.144,218.244,211.589,206.849,201.282,195.756,184.201,175.694,166.033,158.382,147.229,141.3,140.409,134.967,128.038,121.863,116.282,110.083,101.914,97.322,90.447,86.912,80.3,74.642,70.803,66.374,62.251,60.44,57.021,72.497,69.268,57.323,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kosovo,XKX,200.363,196.826,193.737,190.781,187.76,185.579,183.009,180.559,177.48,174.829,172.11,168.809,167.457,164.05,160.91,157.54,154.364,151.5,215.154,298.732,141.688,138.535,134.815,132.102,128.507,125.423,125.096,118.193,112.012,113.097,112.499,110.313,104.295,102.216,99.418,98.212,95.448,96.139,95.182,91.812,106.861,110.771,88.98,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kuwait,KWT,162.792,152.84,149.243,147.505,138.728,136.034,129.517,120.886,119.478,117.187,165.168,151.855,106.819,105.28,106.605,111.7,110.412,108.596,103.801,99.272,94.011,90.798,89.483,91.13,96.498,95.554,97.555,94.869,93.002,88.59,81.242,75.861,72.509,69.106,65.17,64.129,60.943,60.066,59.965,59.479,84.858,64.407,55.721,..
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Kyrgyz Republic,KGZ,334.876,331.992,326.06,325.707,326.579,320.722,315.721,312.717,313.198,310.032,315.831,320.935,328.261,333.761,339.026,340.258,338.389,332.451,324.383,317.042,318.772,314.809,319.766,315.571,311.69,313.677,309.67,303.104,304.396,296.249,287.717,285.311,276.98,270.904,260.812,252.916,255.964,249.818,251.03,245.786,271.377,269.527,262.571,..
